iter	MAPE	RMSE
0	1.461786097	1705906.147
1	1.326152203	1562243.828
2	1.202343632	1428124.066
3	1.107479414	1311893.418
4	1.018045846	1205958.955
5	0.9291383228	1116487.963
6	0.8543896388	1031623.179
7	0.7796813298	960074.3138
8	0.7173454521	892648.3706
9	0.6626661252	836644.4572
10	0.6152646244	783201.4294
11	0.5734722385	739192.0316
12	0.5321000619	700803.3945
13	0.4989066762	665117.2516
14	0.4630534545	631289.4864
15	0.4371106612	604012.4258
16	0.4076484782	576898.9809
17	0.3824572544	551771.7228
18	0.3573757421	529679.2386
19	0.3335802635	511877.6622
20	0.3133207609	494581.6695
21	0.2988771261	479242.5228
22	0.281907061	468040.8605
23	0.2717703154	455769.3114
24	0.2618425409	446293.3568
25	0.2495742165	433399.9412
26	0.2395543728	419870.8577
27	0.22767035	412564.8799
28	0.2196335295	405386.1593
29	0.212812751	399971.0091
30	0.2068696343	395598.1391
31	0.1990477785	391920.1431
32	0.1932665039	389309.1835
33	0.1866997747	386148.2531
34	0.1820856659	382651.1047
35	0.1789530872	381040.4522
36	0.175042465	378274.0172
37	0.1730829001	376066.3848
38	0.1709302571	373717.4117
39	0.1669055795	371653.2755
40	0.1653553708	369129.8428
41	0.1627466247	364401.4538
42	0.1628361317	364400.6074
43	0.1615056815	359992.4732
44	0.1603134533	358055.1307
45	0.159021037	353653.7161
46	0.1572612622	352176.2732
47	0.1544870601	350577.9692
48	0.1516655482	348823.7102
49	0.1498369394	347433.2064
50	0.1478180369	343154.8631
51	0.1471006263	340530.3745
52	0.1468742672	339766.9968
53	0.1459592504	339131.8781
54	0.1454850369	336217.0851
55	0.1449208549	334620.8134
56	0.1447734008	334136.8993
57	0.1437224874	332777.2766
58	0.1423122274	332390.8206
59	0.1422131304	331549.1946
60	0.1418191512	330936.8635
61	0.1396116943	330466.1846
62	0.1393934833	329943.274
63	0.1394328071	329942.5545
64	0.1378722858	329400.8294
65	0.1356421638	328740.8282
66	0.133933723	328325.6299
67	0.1331654737	327606.301
68	0.1325923902	324828.1867
69	0.1316580568	323543.0993
70	0.131653269	323289.903
71	0.1314840419	322218.6092
72	0.131187085	319192.9665
73	0.1310318406	317922.1674
74	0.130642087	317435.6589
75	0.1293212604	316854.8994
76	0.1292584443	315510.7179
77	0.129227339	315069.5082
78	0.1288922236	312550.5097
79	0.1288960338	312549.7157
80	0.1289204515	311787.3365
81	0.1287378228	311558.7872
82	0.1287472876	311558.76
83	0.1284628592	311125.5811
84	0.1283345639	309790.1496
85	0.1270305518	309253.7161
86	0.1266387922	308842.0957
87	0.125146842	308123.8536
88	0.1250444873	307053.2815
89	0.1248769224	306795.1036
90	0.124742573	304476.1444
91	0.1248626689	304107.6301
92	0.1248722981	303717.24
93	0.1242904798	302601.6134
94	0.1241732023	301713.8473
95	0.1241085034	301131.587
96	0.1237782693	300763.0258
97	0.1226461571	300255.2466
98	0.1224604736	298981.7867
99	0.1213044291	298552.3283
100	0.1212707179	298374.2965
101	0.1213132574	297968.1886
102	0.1212638496	297386.8158
103	0.1212761429	297386.7597
104	0.1203077874	296951.5383
105	0.1202402263	296778.1926
106	0.1198305179	296360.1198
107	0.1197046818	295976.6349
108	0.1194797808	294619.2446
109	0.1186665295	294472.4494
110	0.1186199988	294126.436
111	0.1184766032	292955.5563
112	0.1185037747	292571.2606
113	0.1178008833	292283.4032
114	0.1177468368	292071.7106
115	0.1171006361	291834.8327
116	0.1167927073	291312.0818
117	0.1167862269	291219.9189
118	0.116569441	290235.9257
119	0.1161405092	290044.1135
120	0.1154814254	289269.7018
121	0.1154970968	288974.2771
122	0.1154285616	288409.3506
123	0.1153727476	287917.458
124	0.1146478754	287635.205
125	0.1146453651	287523.7062
126	0.1146208154	286978.0363
127	0.1142790804	285992.0644
128	0.1137846586	285826.7691
129	0.1136822572	285688.6147
130	0.1135491078	285041.6211
131	0.1134128942	284360.3654
132	0.1133467886	284001.3421
133	0.1132456655	283628.9214
134	0.1132441566	283241.0841
135	0.1131647704	282662.5605
136	0.1130820025	282097.852
137	0.1126039477	281668.6882
138	0.1126232646	281612.9062
139	0.1125947799	281436.6166
140	0.1119683269	280895.54
141	0.1119365539	280758.6959
142	0.111930084	280346.8244
143	0.1119460668	280298.8208
144	0.1119555394	280091.1757
145	0.1114649046	279733.4049
146	0.1112030055	279358.6485
147	0.1112024377	279219.4206
148	0.1109885058	278810.3716
149	0.1109694686	278805.451
150	0.110950151	278798.4666
151	0.1109179876	278686.4135
152	0.1109129193	278390.556
153	0.1103491682	278100.087
154	0.1099840842	277733.7749
155	0.1100393916	277524.0183
156	0.1100431629	277328.6097
157	0.1101307842	277164.6325
158	0.1098509135	276866.496
159	0.1097875044	276764.5336
160	0.1097991355	276663.9105
161	0.1094785681	276441.0628
162	0.1094026743	275967.8522
163	0.1093718609	275885.0555
164	0.1093837745	275721.2212
165	0.109379768	275451.5807
166	0.1091296768	274995.671
167	0.1088335244	274665.8679
168	0.1088075731	274521.8774
169	0.1087949141	274394.3824
170	0.1086894895	273759.5469
171	0.108686943	273557.047
172	0.1083456698	273407.4176
173	0.1079766738	273165.6402
174	0.1080135376	272999.6694
175	0.1075883847	272852.8578
176	0.1075957151	272784.7393
177	0.1075575434	272660.5127
178	0.1075046381	272299.2303
179	0.1074822115	272110.0044
180	0.1070950948	271967.1911
181	0.1070474986	271661.8641
182	0.1070373755	271474.6884
183	0.1070190247	271197.0891
184	0.1069376081	270963.5715
185	0.1069459383	270789.9572
186	0.1066053292	270562.7096
187	0.106622249	270490.7201
188	0.1066103748	270367.7592
189	0.1065682613	270277.2524
190	0.1061750248	269940.9159
191	0.1058314503	269768.1776
192	0.1058559134	269710.813
193	0.1057109292	269443.5244
194	0.1056779395	269393.2187
195	0.1055508922	268866.6011
196	0.1051467122	268713.9274
197	0.1049432043	268589.6125
198	0.1048497682	268347.8155
199	0.1048469924	268178.4552
200	0.1044748024	268044.2562
201	0.1041750602	267950.6294
202	0.1042051299	267901.0428
203	0.1042228741	267854.5665
204	0.1039767805	267590.0862
205	0.1039236394	267560.9622
206	0.1038474563	267314.6036
207	0.1037962482	267144.7993
208	0.1037481189	266915.551
209	0.103711176	266837.5863
210	0.1036967135	266814.6419
211	0.1035773005	266529.1976
212	0.1035778031	266442.8261
213	0.103560022	266372.3586
214	0.10351871	266160.198
215	0.1034920342	265993.3864
216	0.1032701713	265609.5464
217	0.1032131282	265342.8317
218	0.1031416365	265077.634
219	0.1031188752	264914.956
220	0.1029714748	264521.5472
221	0.1029232627	264310.5043
222	0.1028643402	263973.6478
223	0.1027849691	263664.4179
224	0.1026023356	263497.9973
225	0.1025472535	263233.5526
226	0.1023452768	263097.1858
227	0.1020573033	262960.6637
228	0.1020463504	262845.9804
229	0.1020591262	262789.9455
230	0.1020242976	262541.7901
231	0.102018783	262494.2041
232	0.1017971952	262450.2141
233	0.101602655	262370.0286
234	0.1015776024	262334.232
235	0.1015604297	262116.9886
236	0.1012905874	261968.3263
237	0.1012696594	261827.0939
238	0.1012373076	261766.6323
239	0.1010704472	261628.4135
240	0.101072932	261554.1648
241	0.101039188	261206.8121
242	0.1009411351	261050.7503
243	0.1009356759	261003.7116
244	0.1009114212	260786.2207
245	0.1008955994	260735.3518
246	0.1008819552	260658.687
247	0.1008641141	260601.7985
248	0.100845873	260507.603
249	0.1008206499	260408.4294
250	0.1007270443	260246.1993
251	0.100743618	260197.9074
252	0.1007533233	260105.735
253	0.1007255441	259961.4814
254	0.1007244021	259925.1095
255	0.1004908716	259822.6451
256	0.1004648408	259699.8542
257	0.1004451362	259519.4263
258	0.1002911645	259446.8415
259	0.100268208	259232.9487
260	0.1002811124	259084.5668
261	0.1000246837	258960.9686
262	0.100045965	258835.5372
263	0.1000193732	258817.5063
264	0.09995898908	258677.3891
265	0.09986028553	258647.1828
266	0.09985769362	258564.4422
267	0.09984289412	258532.5693
268	0.09982886547	258408.5745
269	0.09980480406	258246.3972
270	0.09979972749	258042.9658
271	0.09978185172	257810.8836
272	0.09964800857	257705.1757
273	0.09940056626	257607.4275
274	0.09929975931	257360.1801
275	0.09926056573	257287.3486
276	0.09924880816	257151.5756
277	0.09923966912	257013.5272
278	0.0992037912	256800.3182
279	0.09901161145	256729.9845
280	0.09900562996	256696.7676
281	0.09897829261	256657.6629
282	0.09882888815	256537.4944
283	0.09867746686	256433.0723
284	0.09866618881	256412.6183
285	0.09863358307	256213.2667
286	0.09862880091	256201.5272
287	0.09861767328	256200.8609
288	0.09861929069	256152.4139
289	0.0986070057	256098.6916
290	0.09861010449	256009.49
291	0.09852799631	255744.7276
292	0.09849792066	255640.2214
293	0.09845804242	255470.5108
294	0.09829694625	255387.5057
295	0.09812294969	255274.0292
296	0.09812212516	255226.4999
297	0.09811271134	255174.5786
298	0.09810839617	255004.5021
299	0.09806146408	254642.9832
300	0.09802973154	254457.4295
301	0.09803074421	254403.1889
302	0.09804331231	254286.0596
303	0.09804142016	254157.9725
304	0.09800319814	253974.5391
305	0.09793197192	253840.0568
306	0.09767340087	253762.5127
307	0.09756152696	253586.7292
308	0.09756038285	253506.3114
309	0.09747649186	253308.2342
310	0.09737306616	253286.9798
311	0.0973471499	253253.5449
312	0.09731681265	253202.9121
313	0.09727515143	253126.8484
314	0.09723790723	253053.1842
315	0.09700764116	252998.225
316	0.09698586354	252924.5227
317	0.09694511981	252853.5353
318	0.09690216167	252510.524
319	0.09681037157	252440.14
320	0.09678085234	252217.8569
321	0.09672221374	252039.2334
322	0.0964908522	251892.3314
323	0.09643503739	251672.3504
324	0.09644602518	251598.8227
325	0.09637439368	251445.2938
326	0.0962997975	251250.4244
327	0.09629076469	251102.0344
328	0.09625119102	251056.2514
329	0.09623399207	251023.8033
330	0.09623011786	250920.7643
331	0.09622091414	250769.6404
332	0.09612996433	250760.7644
333	0.0959706633	250630.1543
334	0.09588384186	250522.8744
335	0.09587101481	250484.9783
336	0.09585950777	250408.2145
337	0.09584821155	250332.2212
338	0.0957968679	250156.0956
339	0.0957537471	249868.8831
340	0.09574975222	249842.4222
341	0.09573260907	249681.8911
342	0.09569948312	249622.0417
343	0.09556946552	249547.9022
344	0.09556588045	249367.0909
345	0.09552689261	249274.2348
346	0.09550414051	249078.9286
347	0.0953996233	248997.8847
348	0.09538367367	248941.5844
349	0.09532462793	248897.9319
350	0.09531452597	248887.6093
351	0.09531007071	248863.9622
352	0.09531391563	248776.5616
353	0.09527029837	248746.8688
354	0.0952301312	248687.0093
355	0.09519215535	248650.7206
356	0.09516443495	248596.9763
357	0.09513591555	248555.4736
358	0.09513052691	248387.069
359	0.09508807739	248243.1096
360	0.09505919805	248185.9558
361	0.09502054045	247962.1416
362	0.09500679474	247825.9857
363	0.09499240758	247755.0548
364	0.09495130252	247742.5887
365	0.09478980911	247657.5176
366	0.09475454132	247555.053
367	0.09475243369	247530.109
368	0.09471709387	247474.1473
369	0.09471750651	247387.3689
370	0.09470050807	247325.9613
371	0.09469866232	247258.2318
372	0.09467601002	247083.0877
373	0.09457508314	246995.9736
374	0.09444662341	246920.9063
375	0.09442178705	246906.9872
376	0.09439548565	246806.8134
377	0.09433944628	246781.7649
378	0.09418184094	246718.4951
379	0.09402275576	246607.9691
380	0.09395638079	246575.3985
381	0.09397621844	246547.4735
382	0.09396519813	246397.7662
383	0.09395140465	246351.8534
384	0.09395304441	246314.2973
385	0.09391647175	246283.7931
386	0.09385068878	246232.4359
387	0.09383802873	246215.7304
388	0.09379131551	246151.2165
389	0.09372801004	245928.2656
390	0.09372343425	245889.7431
391	0.09364048393	245849.6921
392	0.09362256989	245812.7747
393	0.09361577477	245747.0894
394	0.09359823594	245544.4371
395	0.09356144775	245497.9853
396	0.09356512796	245393.2657
397	0.09356003601	245330.4426
398	0.09353235385	245280.9092
399	0.09349250372	245210.4951
400	0.09345696512	245086.845
401	0.09339070629	244986.6852
402	0.09325902151	244932.776
403	0.09323252749	244884.431
404	0.0932136511	244863.6827
405	0.09319852061	244844.3392
406	0.09319391317	244773.92
407	0.09317446777	244714.784
408	0.0931602667	244644.094
409	0.09308519591	244546.6803
410	0.09309415393	244487.4088
411	0.09302722986	244444.5559
412	0.0930425897	244203.9527
413	0.09300951679	244081.1762
414	0.09299439384	243966.7355
415	0.09291088007	243772.691
416	0.09281368304	243674.6497
417	0.09277853758	243632.1356
418	0.09277298723	243616.8258
419	0.09274131796	243509.6195
420	0.09267187032	243248.0101
421	0.09265629049	243209.6603
422	0.09267214735	243178.2477
423	0.09266331647	243023.4087
424	0.09261144414	243006.2219
425	0.09259417314	242978.3787
426	0.09254356612	242927.2842
427	0.09254058613	242873.6757
428	0.09253365111	242849.0354
429	0.09246893866	242775.1039
430	0.09244946638	242700.8085
431	0.092409225	242649.2816
432	0.09239534801	242619.1931
433	0.09238780216	242587.846
434	0.09234334417	242457.2419
435	0.0923368059	242447.5533
436	0.09227833901	242428.0697
437	0.09216405465	242367.023
438	0.09211500072	242310.7315
439	0.0921012403	242276.7444
440	0.09209000152	242199.5361
441	0.09207965988	242139.4037
442	0.09205948472	242127.0164
443	0.0920431905	242094.5501
444	0.09201906155	242038.2592
445	0.09185270506	241980.7259
446	0.09185138488	241957.1159
447	0.09181085507	241739.9551
448	0.09173501734	241702.4406
449	0.09168851269	241438.2137
450	0.09157531785	241356.5593
451	0.09149974298	241335.7771
452	0.09148540043	241323.3448
453	0.09145330269	241216.9562
454	0.09142733822	241196.2905
455	0.09142313341	241095.3169
456	0.09140412724	241001.4498
457	0.09138403286	240901.0042
458	0.09135112953	240834.5964
459	0.09134898225	240718.8429
460	0.09131863938	240656.42
461	0.09125158813	240580.8715
462	0.09121408641	240461.209
463	0.09119606687	240364.1895
464	0.09118033681	240349.0721
465	0.09114266271	240296.4934
466	0.09112145577	240091.8953
467	0.0910980417	239992.6438
468	0.09108010928	239952.3236
469	0.09101935838	239828.9725
470	0.09099443632	239770.6618
471	0.09100201682	239742.5313
472	0.09098917507	239704.1094
473	0.09099211631	239686.7703
474	0.09098443139	239605.1018
475	0.09094701883	239562.0161
476	0.09092437095	239505.4027
477	0.09092353873	239459.6811
478	0.09086495384	239316.4511
479	0.09087936645	239311.0173
480	0.09086459936	239245.3143
481	0.09082012496	239184.3777
482	0.09073950403	239152.3037
483	0.09071845987	239101.8677
484	0.09061099448	239052.6989
485	0.09060197596	239022.9553
486	0.09059462621	238970.4864
487	0.09053530195	238928.6771
488	0.09049526326	238851.3728
489	0.0904219016	238772.4498
490	0.09037352571	238665.456
491	0.09017919041	238625.1043
492	0.09016287254	238565.2988
493	0.09016497824	238495.5889
494	0.090150042	238386.8093
495	0.09012859948	238304.8927
496	0.09012249832	238184.5605
497	0.09008878133	238144.414
498	0.09007214011	237797.7892
499	0.08996422188	237741.8084
500	0.08985765479	237696.3186
501	0.08984890872	237552.3837
502	0.08984246208	237541.9899
503	0.08981959734	237461.2224
504	0.08981257876	237325.2525
505	0.08979481267	237305.0265
506	0.08974252554	237270.4528
507	0.08970680029	237246.6496
508	0.0896545215	237193.2122
509	0.08965358623	237140.4014
510	0.08965307158	237075.886
511	0.08962829957	237056.6963
512	0.08956589754	237017.1531
513	0.08953242455	236947.9343
514	0.08952761867	236860.825
515	0.08945335264	236833.971
516	0.08942771192	236766.7829
517	0.08937629094	236748.3008
518	0.08935395109	236651.4587
519	0.08931133349	236478.461
520	0.08930726056	236469.6779
521	0.08913343974	236437.4624
522	0.0891225472	236403.4377
523	0.08911189337	236353.8676
524	0.08909188099	236336.9322
525	0.08909259192	236313.9906
526	0.0890913584	236293.2568
527	0.08904532886	236275.9241
528	0.0890653194	236193.5774
529	0.08907729129	236182.2607
530	0.0890724528	236152.8302
531	0.08905502349	236070.3384
532	0.08906275609	235971.5381
533	0.08901697098	235950.7557
534	0.08900529685	235934.1655
535	0.08894821064	235814.0388
536	0.088954904	235793.9454
537	0.08892911951	235753.9638
538	0.08891584529	235726.984
539	0.08892628043	235707.1434
540	0.08887555661	235595.9134
541	0.08885777041	235556.6321
542	0.08885549195	235530.5419
543	0.0887823287	235424.7095
544	0.08877544578	235408.4582
545	0.08877730147	235371.0069
546	0.08875571932	235321.823
547	0.08868587263	235291.2562
548	0.08867265725	235276.7207
549	0.08865719482	235205.7748
550	0.08865943352	235177.2499
551	0.08865314657	235125.3434
552	0.08860615764	235035.7064
553	0.08860176191	235002.4464
554	0.08861163884	234967.5612
555	0.08859614894	234901.0317
556	0.08858791563	234723.9607
557	0.08856273405	234612.1931
558	0.08844560081	234534.299
559	0.0884287432	234489.6808
560	0.08842364046	234472.2092
561	0.08838944304	234417.8684
562	0.08839837708	234388.2096
563	0.08838690154	234319.3231
564	0.08837705064	234254.8836
565	0.08836724542	234240.0627
566	0.08831274779	234229.4649
567	0.0882984828	234141.5624
568	0.08828528146	234095.8843
569	0.08826114106	234021.9154
570	0.08825453646	234004.4295
571	0.08824517174	233980.9912
572	0.08821893813	233941.9201
573	0.08819631237	233859.8998
574	0.08814681705	233679.4337
575	0.08813812914	233653.1447
576	0.088132827	233581.0217
577	0.088084102	233508.9725
578	0.08805484675	233486.4405
579	0.08805347246	233458.8071
580	0.08800691557	233272.406
581	0.08797683803	233179.6588
582	0.08791399057	233067.1648
583	0.08791013703	232996.2003
584	0.0878787749	232980.9612
585	0.08777049939	232952.8553
586	0.0876460628	232910.6596
587	0.08761881969	232798.3154
588	0.0876206669	232769.3083
589	0.08760890407	232732.7172
590	0.08753774133	232696.8441
591	0.08751837965	232657.8019
592	0.0875277488	232638.1065
593	0.08752243103	232620.4601
594	0.08750835587	232560.4404
595	0.08749281209	232518.0109
596	0.08749388086	232504.4811
597	0.08748607469	232469.5304
598	0.08741484895	232439.8166
599	0.08739503925	232376.3969
600	0.08740637921	232340.3186
601	0.08737894079	232283.0379
602	0.08735750934	232249.09
603	0.08727098621	232224.1381
604	0.08725998794	232167.785
605	0.08725888885	232158.2559
606	0.08721995097	232108.9689
607	0.08715235542	232102.2308
608	0.08712568592	232037.19
609	0.08711751374	231998.4737
610	0.08711366762	231920.7578
611	0.08710111256	231893.2998
612	0.08709270594	231849.8633
613	0.08708392905	231821.4167
614	0.08708803532	231742.2111
615	0.08708011069	231716.332
616	0.08704101941	231682.2852
617	0.08703345722	231576.6235
618	0.087013714	231409.96
619	0.08700863064	231378.6688
620	0.08699722853	231335.3987
621	0.08697182312	231313.0865
622	0.08694033264	231217.8699
623	0.08691651778	231119.6807
624	0.0869206026	231092.2439
625	0.08689656808	231059.3472
626	0.0868371196	230967.0757
627	0.08680240434	230898.3454
628	0.08679080292	230758.0309
629	0.08674890047	230754.9615
630	0.08675053316	230727.033
631	0.08674541131	230692.9396
632	0.08671507941	230627.1942
633	0.08671577343	230621.8233
634	0.08669332324	230602.729
635	0.08668457537	230590.8978
636	0.08666418592	230560.4643
637	0.08662204185	230397.4251
638	0.08661811972	230354.6762
639	0.08654913873	230316.2535
640	0.0865416435	230121.8481
641	0.08653598305	230093.6983
642	0.08653497506	229902.9185
643	0.08647067615	229880.7752
644	0.08644815939	229863.7201
645	0.08642176487	229815.5437
646	0.08641379506	229785.5687
647	0.08638165784	229757.9497
648	0.08635869151	229684.4566
649	0.08632567063	229611.0302
650	0.08631089535	229499.382
651	0.0862676499	229441.5891
652	0.08626790106	229392.9537
653	0.08626631961	229357.0451
654	0.08624509109	229306.9997
655	0.08618953692	229266.3124
656	0.0861593878	229229.6662
657	0.08612620663	229142.784
658	0.08608196742	229124.8522
659	0.08607325469	229056.9244
660	0.08606445577	228955.3997
661	0.08605338592	228929.4122
662	0.08603874079	228833.9047
663	0.08603011445	228796.8004
664	0.08598441635	228773.4933
665	0.08586588818	228754.2043
666	0.08584098873	228715.9398
667	0.08583321355	228690.8616
668	0.08579827505	228663.5168
669	0.08578472249	228633.0883
670	0.08577381431	228372.2767
671	0.08577436388	228349.4335
672	0.08572724578	228311.279
673	0.08567873634	228290.0699
674	0.08567408897	228266.1308
675	0.08565846363	228206.2828
676	0.08563767185	228189.8075
677	0.08561880925	228100.5311
678	0.08560379642	228006.9883
679	0.08557833735	227903.4376
680	0.08556786333	227807.0353
681	0.08555512617	227790.4667
682	0.08554168109	227748.5016
683	0.08553127076	227684.6174
684	0.08548258421	227664.2006
685	0.08547822222	227618.7982
686	0.0854675722	227559.7563
687	0.08544958401	227496.9727
688	0.08542861726	227362.3069
689	0.08542066376	227341.1131
