iter	Passed	Remaining
0	5	17583
1	12	19486
2	19	19664
3	26	19542
4	31	19136
5	38	19128
6	44	19205
7	50	18804
8	57	19228
9	63	18999
10	70	19265
11	77	19336
12	84	19362
13	91	19466
14	97	19499
15	103	19342
16	108	18959
17	112	18640
18	118	18627
19	121	18161
20	125	17794
21	129	17540
22	136	17635
23	139	17297
24	145	17262
25	150	17179
26	154	16987
27	157	16730
28	161	16555
29	167	16630
30	173	16606
31	179	16647
32	186	16730
33	192	16823
34	200	16987
35	208	17129
36	215	17218
37	223	17390
38	229	17429
39	236	17464
40	242	17523
41	249	17556
42	252	17342
43	256	17214
44	261	17204
45	267	17179
46	272	17090
47	276	17020
48	279	16859
49	283	16720
50	288	16695
51	292	16575
52	295	16428
53	299	16316
54	305	16339
55	308	16217
56	311	16077
57	314	15959
58	321	16010
59	325	15954
60	328	15850
61	331	15730
62	336	15694
63	337	15504
64	341	15419
65	344	15330
66	349	15307
67	353	15227
68	356	15130
69	359	15045
70	362	14952
71	368	14974
72	371	14892
73	375	14836
74	378	14761
75	382	14702
76	385	14627
77	388	14552
78	392	14512
79	393	14379
80	397	14307
81	402	14309
82	403	14165
83	406	14095
84	409	14032
85	412	13973
86	416	13956
87	420	13905
88	423	13859
89	426	13794
90	430	13749
91	433	13715
92	437	13660
93	440	13609
94	443	13553
95	446	13507
96	449	13453
97	452	13401
98	455	13353
99	458	13305
100	462	13261
101	465	13234
102	468	13183
103	469	13080
104	472	13038
105	475	12991
106	479	12965
107	482	12930
108	485	12889
109	489	12850
110	492	12815
111	499	12880
112	505	12906
113	509	12887
114	512	12854
115	515	12823
116	519	12791
117	522	12770
118	525	12733
119	530	12741
120	534	12710
121	536	12664
122	540	12642
123	543	12607
124	549	12629
125	552	12601
126	556	12580
127	559	12557
128	564	12568
129	567	12539
130	571	12509
131	574	12474
132	577	12443
133	581	12437
134	585	12415
135	588	12391
136	591	12366
137	596	12365
138	603	12411
139	609	12450
140	617	12512
141	623	12554
142	630	12602
143	637	12650
144	644	12685
145	651	12734
146	657	12766
147	664	12803
148	670	12834
149	676	12852
150	683	12887
151	689	12917
152	694	12926
153	700	12952
154	707	12983
155	712	12995
156	720	13041
157	727	13077
158	734	13118
159	740	13137
160	747	13173
161	752	13178
162	757	13178
163	763	13210
164	770	13246
165	776	13257
166	782	13270
167	787	13279
168	793	13294
169	799	13304
170	806	13336
171	812	13365
172	819	13393
173	825	13414
174	834	13463
175	840	13492
176	848	13535
177	856	13576
178	863	13610
179	870	13641
180	877	13668
181	884	13695
182	891	13725
183	898	13753
184	905	13780
185	912	13799
186	918	13817
187	925	13846
188	933	13884
189	938	13876
190	944	13887
191	950	13894
192	954	13889
193	960	13890
194	963	13862
195	967	13845
196	970	13813
197	974	13786
198	979	13782
199	985	13797
200	989	13772
201	992	13743
202	998	13754
203	1003	13759
204	1011	13786
205	1016	13788
206	1022	13800
207	1030	13835
208	1037	13848
209	1043	13869
210	1049	13874
211	1055	13886
212	1062	13901
213	1068	13908
214	1074	13920
215	1080	13920
216	1083	13892
217	1087	13876
218	1090	13854
219	1094	13830
220	1100	13835
221	1105	13836
222	1110	13832
223	1118	13855
224	1124	13871
225	1132	13894
226	1138	13911
227	1145	13922
228	1151	13933
229	1157	13935
230	1164	13962
231	1170	13964
232	1177	13977
233	1184	13996
234	1191	14016
235	1197	14024
236	1203	14031
237	1210	14045
238	1217	14060
239	1223	14073
240	1230	14082
241	1235	14082
242	1241	14081
243	1247	14092
244	1253	14093
245	1260	14110
246	1267	14122
247	1274	14139
248	1280	14148
249	1287	14165
250	1295	14184
251	1303	14208
252	1310	14227
253	1317	14244
254	1325	14265
255	1331	14277
256	1338	14290
257	1346	14306
258	1353	14323
259	1361	14343
260	1368	14357
261	1375	14373
262	1382	14388
263	1390	14405
264	1396	14415
265	1402	14416
266	1408	14419
267	1413	14408
268	1416	14385
269	1420	14360
270	1424	14345
271	1431	14355
272	1437	14357
273	1443	14359
274	1448	14353
