bodyType,brand,color,fuelType,modelDate,name,name_full,numberOfDoors,productionDate,vehicleConfiguration,vehicleTransmission,engineDisplacement,enginePower,description,mileage,equipment,drive,wheel,state,owners,pts,customs,owningTime,price
купе,bmw,синий,дизель,2011,640d xDrive 3.0d AT (313 л.с.) 4WD,BMW 6 серия  III (F06/F13/F12) 640d xDrive,2,2012,COUPE AUTOMATIC 3.0,автоматическая,3.0 LTR,313 N12,"⚡️Обмен не интересует⚡️Идеальное состояние, как технически так и по внешнему виду.  Бережная эксплуатация, ( автомобиль выходного дня )  2 Спутниковых сигнализации одна из которых полностью управляет автомобилем со смартфона.Хранение в паркинге. Комплект ключей и оригинальных документов.24.06.2020 Замена масел и фильтров.  Замена маленькой вакуумной турбины, заслонок управления обоих турбин , все 4 клапана управление нагнетания обоих турбин, замена всех турбо патрубков.  ( в общем всё то что у всех BMW страдает) так же заменил поддон Акпп с фильтром и маслом Акпп, произвёл замену раздатки. ( Ремонт на 125.000.₽.)ОГРОМНАЯ ПРОСЬБА.  ЗВОНИТЬ ИСКЛЮЧИТЕЛЬНО ФИНАНСОВО ПОДГОТОВЛЕННЫХ.  С предложением 1.3-.1.4 не беспокоить. Рассматривайте Солярис.   Не унижайте себя, имейте мужское.  ТОРГА НЕТ.  ЛЮБЫЕ ПРОВЕРКИ.",125 790 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Активный усилитель руля', 'Подрулевые лепестки переключения передач', 'Электропривод зеркал', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Запуск двигателя с кнопки', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный'], 'Салон': ['Тонированные стекла', 'Передний центральный подлокотник', 'Передние сиденья с поясничной поддержкой', 'Подогрев задних сидений', 'Память передних сидений', 'Кожа (Материал салона)', 'Электрорегулировка передних сидений', 'Отделка кожей рычага КПП', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Мультимедиа система с ЖК-экраном', 'Навигационная система', 'Премиальная аудиосистема', 'AUX', 'Bluetooth', 'Розетка 12V'], 'Обзор': ['Ксеноновые/Биксеноновые фары', 'Дневные ходовые огни', 'Электрообогрев боковых зеркал', 'Датчик света', 'Автоматический корректор фар', 'Омыватель фар', 'Противотуманные фары', 'Датчик дождя'], 'Защита от угона': ['Центральный замок', 'Сигнализация с обратной связью', 'Датчик проникновения в салон (датчик объема)', 'Иммобилайзер'], 'Элементы экстерьера': ['Диски 19', 'Легкосплавные диски']}",полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,6 месяцев,1500000
купе,bmw,серебристый,бензин,2003,645i 4.4 AT (333 л.с.),BMW 6 серия  II (E63/E64) 645i,2,2004,COUPE AUTOMATIC 4.4,автоматическая,4.4 LTR,333 N12,"Авто в отличном состоянии. В 2004 году забирал  Бмв центре Фактически один хозяин .по птс  переоформлялась на маму и обратно Техн обслуживание у официала Обмен не интересует , в салон не поставлю .",70 000 км,{},задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,16 лет,950000
купе,bmw,белый,бензин,2011,640i xDrive 3.0 AT (320 л.с.) 4WD,BMW 6 серия  III (F06/F13/F12) 640i xDrive,2,2014,COUPE AUTOMATIC 3.0,автоматическая,3.0 LTR,320 N12,"ТОРГ ОБОСНОВАННЫЙ ПРИ ОСМОТРЕ. ВЫКУП И ОБМЕН НЕ ИНТЕРЕСУЕТ НИ В КАКОМ ВИДЕ. ВСЕ ВОПРОСЫ ПО ТЕЛЕФОНУ. Куплен в 2015 году у дилера БалтАвтоТрейд-М, там же всегда и обслуживался, пробег 100% оригинал, есть подтверждающие документы и состояние соответствует. Все исправно, никаких течей, ошибок нет, подвеска обслужена, недавно сделано т/о. Кожаный салон, память сидений, телефон, bluetooth аудио, доводчики дверей, полный привод. Есть окрас с левой стороны, было небольшое дтп, ремонт косметический, есть отчет. ПТС оригинал, 1 владелец, комплект ключей. АВТОСАЛОНЫ И ПЕРЕКУПЩИКИ - НЕ ТЕРЯЙТЕ ВРЕМЯ, СРОЧНОСТИ НЕТ НИКАКОЙ, АКТУАЛЬНАЯ ЦЕНА В ОБЪЯВЛЕНИИ",72 708 км,"{'Комфорт': ['Круиз-контроль', 'Электрорегулировка руля', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Активный усилитель руля', 'Электропривод зеркал', 'Подрулевые лепестки переключения передач', 'Парктроник передний', 'Парктроник задний', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Запуск двигателя с кнопки', 'Климат-контроль 2-зонный'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Премиальная аудиосистема', 'AUX', 'Bluetooth', 'Розетка 12V'], 'Обзор': ['Ксеноновые/Биксеноновые фары', 'Электрообогрев боковых зеркал', 'Датчик света', 'Автоматический корректор фар', 'Омыватель фар', 'Противотуманные фары', 'Датчик дождя'], 'Салон': ['Передний центральный подлокотник', 'Передние сиденья с поясничной поддержкой', 'Кожа (Материал салона)', 'Память передних сидений', 'Регулировка передних сидений по высоте', 'Электрорегулировка передних сидений', 'Отделка кожей рычага КПП', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер'], 'Элементы экстерьера': ['Диски 17']}",полный,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,5 лет и 6 месяцев,1695000
купе,bmw,чёрный,бензин,2003,645i 4.4 AT (333 л.с.),BMW 6 серия  II (E63/E64) 645i,2,2004,COUPE AUTOMATIC 4.4,автоматическая,4.4 LTR,333 N12,"Машина в  !ИДЕАЛЬНОМ состоянии! Лучшее состояние из всех машин этого кузова и года среди всех объявлений. Пробег - оригинальный.   Машину очень люблю, всегда вовремя обслуживаю, катался исключительно летом и в хорошую погоду, Ошибок НИКАКИХ НЕТ и не было. Единственное, что нужно сделать - поменять передние тормозные диски. Любые проверки за ваш счёт.  ПТС оригинал,  по факту  Я 3 хозяин, первые два владельца муж и жена, остальные вопросы по телефону. По кузову есть некритичные моменты (сколы и т.д) Машина не окрашена, вся в родной краске, масло меняю  каждые 8к, последнее ТО 7к назад, все чеки на руках Все вопросы по телефону. Просьба не звонить с 11 до 13:00 пн-сб, а также не звонить после 23:00Перекупы и прочие - мимо, продам только частнику Торг уместен",73 775 км,{},задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,880000
лифтбек,bmw,серый,дизель,2017,620d xDrive 2.0d AT (190 л.с.) 4WD,BMW 6 серия Gran Turismo IV (G32) 620d xDrive,5,2019,LIFTBACK AUTOMATIC 2.0,автоматическая,2.0 LTR,190 N12,"Цена на автомобиль указана с учетом скидки от Дилерского Центра БалтАвтоТрейд-М на Варшавском Шоссе:Скидка при сдаче авто в Trade-In - 250000 рублей  ;Скидка за приобретение в кредит - 55000 рублей ;Скидка за приобретение страховки - 25000 рублей . Более подробную информацию и условия приобретения автомобиля Вы можете узнать в отделе продаж Дилерского центра БалтАвтоТрейд-М на Варшавском Шоссе. Окончательная стоимость зависит от способа приобретения автомобиля.Дилерский центр БалтАвтоТрейд-М на Варшавке, теперь работает онлайн. Бронируйте понравившийся автомобиль по телефону!БалтАвтоТрейд-М на Варшавке - это современный трехэтажный шоурум площадью 3 000 м² разделён на отдельные части, где каждый покупатель или владелец автомобиля BMW сможет найти что-то для себя.Наши преимущества:— Автомобили BMW с Trade-in бонусом до 300 000 Р.— Кредитование от 5,1%— Сертификат на дополнительное оборудование и колеса в сборе— Скидка 20% на КАСКО Ждем вас в БалтАвтоТрейд-Варшавка.____________________________________ДОПОЛНИТЕЛЬНО УСТАНОВЛЕННЫЕ ОПЦИИФУНКЦИОНАЛЬНОЕ ОБОРУДОВАНИЕ• Норма токсичности ОГ EU5• Выбор автомобиля важного для СОР• ACEA / CO2 ОБЪЕМ• Комфортный доступ• Автодоводчик дверей• Спидометр• Код 5 для DVDХОДОВАЯ ЧАСТЬ• Оснащение тормозной системой экспорт.• Пневмподвеска передней и задней оси• Интервал замены масла 15.000 км/18 мес• Защита картера, экспортные исполненияРУЛЕВОЕ УПРАВЛЕНИЕ• Обогрев рулевого колесаКОЛЕСА, ДИСКИ, ШИНЫ• Безопасные шины Runflat • 20"" легкосплавные диски V-spoke style 686 с разноразмерными шинами БЕЗОПАСНОСТЬ• Индикатор давления в шинах• Знак аварийной остановки • Система активной безопасности• Функция интеллектуального экстренного вызова• Закрывание центрального замка при начале движенияКЛИМАТ И ОСТЕКЛЕНИЕ• Панорамная стеклянная крыша• Пакет Ambient Air (ионизация и ароматизация воздуха в салоне)• Автоматический климат-контроль, 3-зонный с расширенными функциямиИНТЕРЬЕР• Велюровые коврики• Обивка приборной панели Sensatec• Декоративные планки | Алюминий с насечкой | Акцентные вставки ""Жемчужный Хром""• Керамическая отделка органов управленияСИДЕНЬЯ• Активная вентиляция передних сидений • Комфортные передние сиденья, электрорегулируемые• Регулировка спинок задних сидений• Подогрев передних сиденийСИСТЕМЫ ОСВЕЩЕНИЯ, ЗЕРКАЛА• Расширенный пакет зеркал заднего вида• Пакет освещения• Адаптивные светодиодные фары• Светодиодные противотуманные фары• Система управления дальним светомСИСТЕМЫ ПОМОЩИ ВОДИТЕЛЮ• Ассистент вождения • Ассистент парковки ИНФОРМАЦИЯ И КОММУНИКАЦИЯ• Проекционный дисплей BMW• TeleServices• Сервисы BMW ConnectedDrive • Телефония с возможностью беспроводной зарядки• BMW Live Cockpit Professional• Система управления жестами BMW• Управление по странам, Россия 10323РАЗВЛЕКАТЕЛЬНЫЕ СИСТЕМЫ• Аудиосистема Harman Kardon Surround Sound BMW CONNECTEDDRIVE• Пакет Connected ProfessionalЭКСТЕРЬЕР• Внешний дизайн BMW Individual Shadow LineЛИНИИ ОТДЕЛКИ / ПАКЕТЫ• Luxury LineПРОЧЕЕ• Русский язык• BMW Repair Inclusive• Оборудование для стран с холодным климатом• Сервисная книжка и инструкция на русском языке• Защита покрытия кузова",0,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Активный усилитель руля', 'Электропривод зеркал', 'Электростеклоподъёмники задние', 'Доводчик дверей', 'Парктроник передний', 'Парктроник задний', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Проекционный дисплей', 'Бортовой компьютер', 'Система доступа без ключа', 'Запуск двигателя с кнопки', 'Электронная приборная панель', 'Электропривод крышки багажника', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Электроскладывание зеркал'], 'Безопасность': ['Антипробуксовочная система (ASR)', 'Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Система помощи при торможении (BAS, EBD)', 'Подушка безопасности для защиты коленей водителя', 'ЭРА-ГЛОНАСС', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Датчик давления в шинах', 'Антиблокировочная система (ABS)', 'Блокировка замков задних дверей'], 'Обзор': ['Система адаптивного освещения', 'Электрообогрев форсунок стеклоомывателей', 'Дневные ходовые огни', 'Электрообогрев боковых зеркал', 'Светодиодные фары', 'Датчик света', 'Система управления дальним светом', 'Противотуманные фары', 'Датчик дождя'], 'Салон': ['Спортивные передние сиденья', 'Передний центральный подлокотник', 'Декоративная подсветка салона', 'Кожа (Материал салона)', 'Обогрев рулевого колеса', 'Память сиденья водителя', 'Вентиляция передних сидений', 'Регулировка передних сидений по высоте', 'Складывающееся заднее сиденье', 'Электрорегулировка передних сидений', 'Панорамная крыша / лобовое стекло', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса', 'Третий задний подголовник'], 'Мультимедиа': ['USB', 'Навигационная система', 'CarPlay', 'Премиальная аудиосистема', 'AUX', 'Bluetooth', 'Розетка 12V'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер'], 'Элементы экстерьера': ['Диски 19', 'Легкосплавные диски', 'Металлик'], 'Прочее': ['Защита картера']}",полный,Левый,Не требует ремонта,0,Оригинал,Растаможен,0,4120714
купе,bmw,синий,бензин,2011,650i xDrive 4.4 AT (450 л.с.) 4WD,BMW 6 серия  III (F06/F13/F12) 650i xDrive,2,2012,COUPE AUTOMATIC 4.4,автоматическая,4.4 LTR,450 N12,-Возможен обмен на Ваш авто-Возможно приобретение в рассрочку,66 284 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Активный усилитель руля', 'Электропривод зеркал', 'Подрулевые лепестки переключения передач', 'Доводчик дверей', 'Парктроник передний', 'Парктроник задний', 'Система «старт-стоп»', 'Проекционный дисплей', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Запуск двигателя с кнопки', 'Электронная приборная панель', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Электроскладывание зеркал', 'Камера 360°'], 'Салон': ['Тонированные стекла', 'Передний центральный подлокотник', 'Тёмный салон', 'Кожа (Материал салона)', 'Память передних сидений', 'Обогрев рулевого колеса', 'Вентиляция передних сидений', 'Регулировка передних сидений по высоте', 'Электрорегулировка передних сидений', 'Отделка кожей рычага КПП', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса', 'Отделка потолка чёрной тканью'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Датчик давления в шинах', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Навигационная система', 'Премиальная аудиосистема', 'AUX', 'Голосовое управление', 'Bluetooth', 'Розетка 12V'], 'Обзор': ['Ксеноновые/Биксеноновые фары', 'Дневные ходовые огни', 'Электрообогрев боковых зеркал', 'Датчик света', 'Автоматический корректор фар', 'Омыватель фар', 'Противотуманные фары', 'Датчик дождя'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер'], 'Прочее': ['Активная подвеска', 'Спортивная подвеска', 'Защита картера'], 'Элементы экстерьера': ['Диски 19', 'Легкосплавные диски']}",полный,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1750000
купе,bmw,серый,бензин,2003,650i 4.8 AT (367 л.с.),BMW 6 серия  II (E63/E64) 650i,2,2007,COUPE AUTOMATIC 4.8,автоматическая,4.8 LTR,367 N12,"Продаю BMW 650i 2007 года выпуска.Два владельца за все время. Крыша карбон (не пленка), потолок черная алькантара, память сидений, подрулевые лепестки переключения передач, широкий монитор, навигация, двухзонный климат, комфорт сидения и многое другое.Едет очень резво и уверенно! Отклик на педаль практически мгновенный. Коробка переключается без толчков и пинков. Подвеска вся целая, ни чего не стучит и не гремит.САЛОНАМ И ПЕРЕКУПЩИКАМ ПРОСЬБА НЕ БЕСПОКОИТЬ!",149 000 км,"{'Комфорт': ['Круиз-контроль', 'Электростеклоподъёмники передние', 'Электрорегулировка руля', 'Мультифункциональное рулевое колесо', 'Бортовой компьютер', 'Усилитель руля', 'Рулевая колонка с памятью положения', 'Подрулевые лепестки переключения передач', 'Электропривод зеркал', 'Парктроник передний', 'Электроскладывание зеркал', 'Парктроник задний'], 'Безопасность': ['Антипробуксовочная система (ASR)', 'Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Подушки безопасности оконные (шторки)', 'Подушка безопасности пассажира', 'Система помощи при торможении (BAS, EBD)', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Салон': ['Тонированные стекла', 'Регулировка передних сидений по высоте', 'Электрорегулировка передних сидений', 'Сиденье водителя с поясничной поддержкой', 'Память передних сидений', 'Кожа (Материал салона)', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Обзор': ['Ксеноновые/Биксеноновые фары', 'Омыватель фар', 'Дневные ходовые огни', 'Противотуманные фары', 'Электрообогрев боковых зеркал'], 'Мультимедиа': ['Мультимедиа система с ЖК-экраном', 'Навигационная система', 'Аудиосистема', 'Bluetooth', 'Розетка 12V'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер'], 'Элементы экстерьера': ['Легкосплавные диски']}",задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,710000
лифтбек,bmw,синий,дизель,2017,620d xDrive 2.0d AT (190 л.с.) 4WD,BMW 6 серия Gran Turismo IV (G32) 620d xDrive,5,2020,LIFTBACK AUTOMATIC 2.0,автоматическая,2.0 LTR,190 N12,"Цена на автомобиль указана с учетом скидки от Дилерского Центра БалтАвтоТрейд-М на Варшавском Шоссе:Скидка при сдаче авто в Trade-In - 250000 рублей  ;Скидка за приобретение в кредит - 55000 рублей ;Скидка за приобретение страховки - 25000 рублей . Более подробную информацию и условия приобретения автомобиля Вы можете узнать в отделе продаж Дилерского центра БалтАвтоТрейд-М на Варшавском Шоссе. Окончательная стоимость зависит от способа приобретения автомобиля.Дилерский центр БалтАвтоТрейд-М на Варшавке, теперь работает онлайн. Бронируйте понравившийся автомобиль по телефону!БалтАвтоТрейд-М на Варшавке - это современный трехэтажный шоурум площадью 3 000 м² разделён на отдельные части, где каждый покупатель или владелец автомобиля BMW сможет найти что-то для себя.Наши преимущества:— Автомобили BMW с Trade-in бонусом до 300 000 Р.— Кредитование от 5,1%— Сертификат на дополнительное оборудование и колеса в сборе— Скидка 20% на КАСКО Ждем вас в БалтАвтоТрейд-Варшавка.____________________________________ДОПОЛНИТЕЛЬНО УСТАНОВЛЕННЫЕ ОПЦИИФУНКЦИОНАЛЬНОЕ ОБОРУДОВАНИЕ• Норма токсичности ОГ EU5• Выбор автомобиля важного для СОР• ACEA / CO2 ОБЪЕМ• Комфортный доступ• Спидометр• Код 5 для DVDХОДОВАЯ ЧАСТЬ• Оснащение тормозной системой экспорт.• Интервал замены масла 15.000 км/18 мес• Защита картера, экспортные исполненияРУЛЕВОЕ УПРАВЛЕНИЕ• Обогрев рулевого колесаКОЛЕСА, ДИСКИ, ШИНЫ• Безопасные шины Runflat • 19'' легкосплавные диски V-spoke style 685 с разноразмерными шинами БЕЗОПАСНОСТЬ• Индикатор давления в шинах• Знак аварийной остановки • Функция интеллектуального экстренного вызова• Закрывание центрального замка при начале движенияСИСТЕМЫ ПОМОЩИ ВОДИТЕЛЮ• Камера заднего видаКЛИМАТ И ОСТЕКЛЕНИЕ• Панорамная стеклянная крыша• Пакет Ambient Air (ионизация и ароматизация воздуха в салоне)• Автоматический климат-контроль, 3-зонный с расширенными функциямиИНТЕРЬЕР• Велюровые коврики• Декоративные планки | 'Глянцевый Черный' | Акцентные вставки 'Жемчужный Хром'СИДЕНЬЯ• Электрорегулировка передних сидений, с функцией памяти для сиденья водителя • Спортивные сиденья для водителя и переднего пассажира• Электрорегулируемая поддержка поясничного отдела спины• Подогрев передних сиденийСИСТЕМЫ ОСВЕЩЕНИЯ, ЗЕРКАЛА• Расширенный пакет зеркал заднего вида• Пакет освещения• Светодиодные противотуманные фарыРАЗВЛЕКАТЕЛЬНЫЕ СИСТЕМЫ• Аудиосистема Hi-FiИНФОРМАЦИЯ И КОММУНИКАЦИЯ• TeleServices• Сервисы BMW ConnectedDrive • BMW Live Cockpit Professional• Управление по странам, Россия 10323BMW CONNECTEDDRIVE• Пакет Connected ProfessionalЭКСТЕРЬЕР• Внешний дизайн BMW Individual Shadow LineЛИНИИ ОТДЕЛКИ / ПАКЕТЫ• Sport LineПРОЧЕЕ• Русский язык• BMW Repair Inclusive• Оборудование для стран с холодным климатом• Сервисная книжка и инструкция на русском языке• Защита покрытия кузова",0,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Камера задняя', 'Активный усилитель руля', 'Электропривод зеркал', 'Электростеклоподъёмники задние', 'Парктроник передний', 'Парктроник задний', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Система доступа без ключа', 'Запуск двигателя с кнопки', 'Электронная приборная панель', 'Электропривод крышки багажника', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Электроскладывание зеркал'], 'Безопасность': ['Антипробуксовочная система (ASR)', 'Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Система помощи при торможении (BAS, EBD)', 'Подушка безопасности для защиты коленей водителя', 'ЭРА-ГЛОНАСС', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Датчик давления в шинах', 'Антиблокировочная система (ABS)', 'Блокировка замков задних дверей'], 'Обзор': ['Система адаптивного освещения', 'Электрообогрев форсунок стеклоомывателей', 'Дневные ходовые огни', 'Электрообогрев боковых зеркал', 'Светодиодные фары', 'Датчик света', 'Противотуманные фары', 'Датчик дождя'], 'Салон': ['Спортивные передние сиденья', 'Передний центральный подлокотник', 'Декоративная подсветка салона', 'Кожа (Материал салона)', 'Обогрев рулевого колеса', 'Память сиденья водителя', 'Регулировка передних сидений по высоте', 'Складывающееся заднее сиденье', 'Электрорегулировка передних сидений', 'Панорамная крыша / лобовое стекло', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса', 'Третий задний подголовник'], 'Мультимедиа': ['USB', 'Навигационная система', 'CarPlay', 'Премиальная аудиосистема', 'AUX', 'Bluetooth', 'Розетка 12V'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер'], 'Элементы экстерьера': ['Диски 19', 'Легкосплавные диски', 'Металлик'], 'Прочее': ['Защита картера']}",полный,Левый,Не требует ремонта,0,Оригинал,Растаможен,0,3483383
купе,bmw,синий,бензин,2015,650i xDrive 4.4 AT (450 л.с.) 4WD,BMW 6 серия  III (F06/F13/F12) Рестайлинг 650i xDrive,2,2015,COUPE AUTOMATIC 4.4,автоматическая,4.4 LTR,450 N12,Автомобиль находился в одной семье . Крашеных деталий нет . ТО у дилера . Любые проверки .,3 000 км,{},полный,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,2800000
кабриолет,bmw,чёрный,бензин,2011,640i 3.0 AT (320 л.с.),BMW 6 серия  III (F06/F13/F12) 640i,2,2011,CABRIO AUTOMATIC 3.0,автоматическая,3.0 LTR,320 N12,"Срочно! Самая низкая цена рынка для быстрой продажи..BMW 640I кабриолет. С нормальным мотором.. Идеальное состояние, новые диски VOSSEN R20, новая резина.В жирной комплектации: запуск без ключа, сидения, - комфорт с памятью пассажира и водителя, обогрев и вентиляция, климат - 2 зоны, камера заднего вида, парктроники по кругу, навигация, Bluetooth/СD/DVD/, функция старт/стоп Возможен ВЫГОДНЫЙ ДЛЯ МЕНЯ обмен ..   Нужна машина с 4 дверьми.",89 000 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Камера задняя', 'Активный усилитель руля', 'Электропривод зеркал', 'Подрулевые лепестки переключения передач', 'Электростеклоподъёмники задние', 'Парктроник задний', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Запуск двигателя с кнопки', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 1-зонный'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности пассажира', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Система помощи при старте в гору (HSA)', 'Подушки безопасности оконные (шторки)', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Навигационная система', 'Премиальная аудиосистема', 'AUX', 'Bluetooth', 'Розетка 12V'], 'Обзор': ['Ксеноновые/Биксеноновые фары', 'Электрообогрев боковых зеркал', 'Датчик света', 'Омыватель фар', 'Противотуманные фары', 'Датчик дождя'], 'Салон': ['Передний центральный подлокотник', 'Кожа (Материал салона)', 'Память передних сидений', 'Вентиляция передних сидений', 'Электрорегулировка передних сидений', 'Отделка кожей рычага КПП', 'Отделка кожей рулевого колеса'], 'Элементы экстерьера': ['Диски 20', 'Диски 17', 'Легкосплавные диски'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер']}",задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,2100000
